palabra,frecuencia
corruptos,812
corrupcion,716
seguridad,666
agua,443
sheinbaum,367
lopez,321
amlo,314
delincuentes,285
obrador,282
corrupto,255
policia,249
crimen,248
basura,246
ladrones,246
transformacion,214
obras,208
robo,186
obra,165
calles,164
corrupta,158
narcogobierno,149
calle,148
edificio,144
traidores,138
criminal,133
delincuencia,132
cartel,120
rateros,119
infraestructura,111
cuarta,110
mentirosos,107
complices,107
luz,106
proyecto,103
proyectos,101
peligro,99
fraude,98
construccion,95
delincuente,94
dictadura,91
proteccion,89
complice,89
inseguridad,84
desarrollo,83
puente,78
morenarcos,77
movimiento,76
mantenimiento,75
norona,72
carretera,70
corte,64
ladron,62
camino,61
olor,60
morenistas,59
complicidad,59
avenida,58
vendidos,54
monreal,53
transito,52
coludidos,49
robos,47
aguas,47
guardia,46
limpia,45
limpiar,45
electricidad,44
narcomorena,43
secuestro,42
baches,42
adan,42
limpieza,41
vigilancia,39
luces,37
contaminacion,37
